date,time_range,econ_gdp,econ_real_gdp,econ_nominal_potential_gdp,econ_real_gdp_per_capita,econ_federal_funds_rate,econ_cpi,econ_inflation_rate,econ_inflation,econ_retail_sales,econ_consumer_sentiment,econ_durable_goods,econ_unemployment_rate,econ_total_nonfarm_payroll,econ_initial_claims,econ_industrial_production_total_index,econ_housing_starts_total_units,econ_total_vehicle_sales,econ_retail_money_funds,econ_smoothed_us_recession_probabilities,econ_cd_3m_90d_rate,econ_credit_card_interest_rate_all_accounts,econ_mortgage_30y_fixed_average,econ_mortgage_15y_fixed_average
2020-03-31,q1y2020,21751.238,20709.212,21873.761113408145,62463.0,0.65,258.076,0.87,1.23358439630629,420954.0,89.1,204710.0,4.4,150895.0,5946000.0,97.4078,1266.0,11.825,1024.2,100.0,1.35,15.09,3.5,2.92
2020-06-30,q2y2020,19958.291,19077.992,21891.420034214145,57504.0,0.08,257.042,1.34,,465800.0,78.1,202777.0,11.0,137671.0,1446000.0,91.5934,1266.0,13.532,1141.5,0.14,0.2,14.52,3.13,2.59
2020-09-30,q3y2020,21704.437,20558.879,22191.760597223885,61936.0,0.09,259.997,1.63,,482702.0,80.4,230481.0,7.8,141770.0,795000.0,95.9669,1473.0,16.713,1088.5,0.04,0.13,14.58,2.9,2.4
2020-12-31,q4y2020,22087.16,20791.917,22432.146377339566,62605.0,0.09,262.045,1.99,,485949.0,80.7,241814.0,6.7,142548.0,773000.0,98.363,1614.0,16.906,1055.4,0.12,0.17,14.65,2.67,2.17
2021-03-31,q1y2021,22680.693,21082.134,22825.68359119761,63490.0,0.07,264.961,2.37,4.69785886363742,539607.0,84.9,253805.0,6.1,144232.0,658000.0,98.3856,1696.0,18.451,1020.4,0.02,0.1,14.75,3.17,2.45
2021-06-30,q2y2021,23425.91,21440.929,23296.308093083084,64539.0,0.08,270.654,2.32,,540152.0,85.5,258284.0,5.9,145820.0,368000.0,99.7987,1650.0,16.056,998.3,0.12,0.09,14.61,3.02,2.34
2021-09-30,q3y2021,23982.379,21617.828,23779.944781598577,64990.0,0.08,273.91,2.37,,536651.0,72.8,259192.0,4.7,147771.0,375000.0,98.8579,1577.0,12.731,989.1,1.56,0.1,14.54,3.01,2.28
2021-12-31,q4y2021,24813.6,21988.737,24323.077651873144,66011.0,0.08,280.845,2.56,,547277.0,70.6,277487.0,3.9,149816.0,217000.0,100.5726,1722.0,13.123,983.2,1.16,0.17,14.51,3.11,2.33
2022-03-31,q1y2022,25250.347,21932.71,24957.906399242383,65773.0,0.2,287.674,2.84,8.00279982052121,574485.0,59.4,277554.0,3.7,151315.0,214000.0,101.3907,1712.0,14.221,988.7,0.34,0.73,14.56,4.67,3.83
2022-06-30,q2y2022,25861.292,21967.045,25675.260814620862,65777.0,1.21,294.957,2.33,,585556.0,50.0,284763.0,3.6,152358.0,212000.0,101.018,1551.0,13.821,1000.1,0.46,1.87,15.13,5.7,4.83
