ticker,date,time_published,title,summary,source,source_domain,category_within_source,url,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,authors_json,topics_json,banner_image
ATO,2020-03-30,20200330T144400,Atmos Energy taking extra precautions during outbreak,"Atmos Energy is implementing increased safety measures for its employees and the public during the COVID-19 pandemic, emphasizing the importance of natural gas service safety. The company is urging homeowners and contractors to postpone non-essential digging projects and to always call 811 two days prior to any necessary digging to prevent damage to underground utility lines. This initiative aims to protect both workers and customers while maintaining reliable natural gas service for over 3 million customers.",KVII,KVII,General,https://abc7amarillo.com/news/local/atmos-energy-taking-extra-precautions-during-outbreak,0.137999,Neutral,1.000000,0.137453,Neutral,"[""Matthew Watkins""]","[{""topic"": ""energy_transportation"", ""relevance_score"": ""0.940742""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.733656""}, {""topic"": ""finance"", ""relevance_score"": ""0.605085""}]",
BIPC,2020-03-30,20200330T150912,Brookfield Infrastructure Partners L.P. completed the spin-off of Brookfield Infrastructure Corporation for $1.3 billion.,"Brookfield Infrastructure Partners L.P. successfully completed the spin-off of Brookfield Infrastructure Corporation (BIPC) valued at $1.3 billion on March 31, 2020. This strategic move involved distributing Class A shares of BIPC to existing Brookfield Infrastructure Partners unitholders, with each share being exchangeable for one Brookfield Infrastructure unit. Unitholders received approximately 0.11 BIPC shares for every unit held, and BIPC shares began trading on the TSX and NYSE under the symbol ""BIPC"".",marketscreener.com,marketscreener.com,General,https://www.marketscreener.com/quote/stock/BROOKFIELD-INFRASTRUCTURE-105311078/news/Brookfield-Infrastructure-Partners-L-P-completed-the-spin-off-of-Brookfield-Infrastructure-Corporat-33928348/,0.347197,Somewhat-Bullish,1.000000,0.343487,Somewhat-Bullish,"[""S&P Capital IQ""]","[{""topic"": ""mergers_and_acquisitions"", ""relevance_score"": ""1.000000""}, {""topic"": ""finance"", ""relevance_score"": ""0.734414""}]",
MMM,2020-03-30,20200330T153300,US industrial giant 3M scrambles to meet demand for face masks as coronavirus spreads,"3M, a $32 billion Minnesota conglomerate, is significantly ramping up its N95 face mask production to meet unprecedented global demand caused by the coronavirus pandemic. The company plans to double its annual production from 1.1 billion to 2 billion within 12 months, a move expected to add $300 million in sales, though this is a small fraction of its overall $32 billion business. Despite the increased production, analysts note that the importance of face masks has focused significant attention on the company, whose shares have fallen more than 22% since the start of the year.",CNBC,CNBC,General,https://www.cnbc.com/2020/03/30/3m-scrambles-to-meet-coronavirus-demand-for-face-masks.html,0.266688,Somewhat-Bullish,1.000000,0.255041,Somewhat-Bullish,"[""Robert Ferris""]","[{""topic"": ""manufacturing"", ""relevance_score"": ""0.925507""}, {""topic"": ""life_sciences"", ""relevance_score"": ""0.814774""}, {""topic"": ""earnings"", ""relevance_score"": ""0.741088""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.601459""}]",
WSM,2020-03-30,20200330T155200,"Williams-Sonoma, Pottery Barn to end false 'made in America' claims, pay $1M: FTC","Williams-Sonoma Inc. and its Pottery Barn unit have agreed to pay $1 million and cease making unsubstantiated ""made in America"" claims, as announced by the Federal Trade Commission (FTC). The FTC found that the company falsely claimed products like Goldtouch Bakeware and Rejuvenation items were entirely made in the U.S. when they were either manufactured elsewhere or contained significant imported components.",Fox Business,Fox Business,General,https://www.foxbusiness.com/lifestyle/williams-sonoma-pottery-barn-to-end-false-made-in-america-claims-pay-1-million-ftc,-0.432168,Bearish,1.000000,-0.404546,Bearish,[],"[{""topic"": ""retail_wholesale"", ""relevance_score"": ""0.823754""}, {""topic"": ""finance"", ""relevance_score"": ""0.709772""}]",
BLK,2020-03-30,20200330T155900,Big Reversals for S&P 500 ETFs With Exodus From Treasury Darling,"Market volatility is causing significant reversals in exchange-traded funds, with the Vanguard S&P 500 ETF (VOO) seeing a substantial inflow after a previous outflow. Conversely, BlackRock Inc.'s iShares 1-3 Year Treasury Bond ETF (SHY) experienced a nearly $1.5 billion outflow following five weeks of inflows. These movements highlight investors re-evaluating positions amidst global market swings.",Bloomberg.com,Bloomberg.com,General,https://www.bloomberg.com/news/articles/2020-03-30/big-reversals-for-s-p-500-etfs-with-exodus-from-treasury-hotspot,-0.111134,Neutral,0.738555,0.132810,Neutral,"[""Claire Ballentine""]","[{""topic"": ""financial_markets"", ""relevance_score"": ""0.924211""}]",
GGOV,2020-03-30,20200330T155900,Big Reversals for S&P 500 ETFs With Exodus From Treasury Darling,"Market volatility is causing significant reversals in exchange-traded funds, with the Vanguard S&P 500 ETF (VOO) seeing a substantial inflow after a previous outflow. Conversely, BlackRock Inc.'s iShares 1-3 Year Treasury Bond ETF (SHY) experienced a nearly $1.5 billion outflow following five weeks of inflows. These movements highlight investors re-evaluating positions amidst global market swings.",Bloomberg.com,Bloomberg.com,General,https://www.bloomberg.com/news/articles/2020-03-30/big-reversals-for-s-p-500-etfs-with-exodus-from-treasury-hotspot,-0.111134,Neutral,0.643827,-0.274555,Somewhat-Bearish,"[""Claire Ballentine""]","[{""topic"": ""financial_markets"", ""relevance_score"": ""0.924211""}]",
HI,2020-03-30,20200330T161500,"Hillenbrand Completes Sale of Cimcool Business to DuBois Chemicals, Inc.","Hillenbrand, Inc. announced the completion of its wholly-owned subsidiary Milacron LLC's sale of the Cimcool business to DuBois Chemicals, Inc. The transaction resulted in approximately $224 million in cash proceeds for Hillenbrand, with potential for an additional $26 million based on future performance. Hillenbrand plans to use the proceeds primarily for de-leveraging activities.",PR Newswire,PR Newswire,General,https://www.prnewswire.com/news-releases/hillenbrand-completes-sale-of-cimcool-business-to-dubois-chemicals-inc-301031988.html,0.703269,Bullish,0.963071,0.728694,Bullish,[],"[{""topic"": ""mergers_and_acquisitions"", ""relevance_score"": ""1.000000""}, {""topic"": ""finance"", ""relevance_score"": ""0.749560""}, {""topic"": ""manufacturing"", ""relevance_score"": ""0.648933""}]",
GIS,2020-03-30,20200330T162200,"General Mills plant employee has presumed COVID-19 case, company says",General Mills announced that an employee at its Cedar Rapids production facility has a presumed case of COVID-19 and is self-isolating. The company has contacted other potentially exposed employees and implemented enhanced cleaning measures and social distancing at the plant. Officials noted that the FDA has not linked coronavirus to food or food packaging.,KCRG,KCRG,General,https://www.kcrg.com/content/news/General-Mills-plant-employee-has-presumed-COVID-19-case-company-says-569229591.html,-0.115521,Neutral,1.000000,-0.110361,Neutral,"[""KCRG News Staff""]","[{""topic"": ""manufacturing"", ""relevance_score"": ""0.919617""}, {""topic"": ""life_sciences"", ""relevance_score"": ""0.718335""}]",
CDR-P-B,2020-03-30,20200330T165211,"Cedar Realty Trust Announces Plan To Mitigate COVID-19 Impact, Reduces Capital Expenditures","Cedar Realty Trust announced a plan to mitigate the COVID-19 impact by increasing liquidity by $75 million, reducing its quarterly common dividend to $0.01 per share, and dramatically cutting capital expenditures. The company also withdrew its 2020 earnings guidance due to market uncertainty. These measures aim to preserve financial flexibility and respond to the evolving economic landscape.",Boston Real Estate Times,Boston Real Estate Times,General,https://bostonrealestatetimes.com/cedar-realty-trust-announces-plan-to-mitigate-covid-19-impact-reduces-capital-expenditures/,0.022918,Neutral,0.334313,0.024184,Neutral,"[""Boston Real Estate Times""]","[{""topic"": ""earnings"", ""relevance_score"": ""0.934323""}, {""topic"": ""real_estate"", ""relevance_score"": ""0.826169""}, {""topic"": ""economy_macro"", ""relevance_score"": ""0.712136""}, {""topic"": ""finance"", ""relevance_score"": ""0.613662""}]",https://i0.wp.com/bostonrealestatetimes.com/wp-content/uploads/2020/03/Bruce-Schanzer.jpg?resize=500%2C341&ssl=1
BEN,2020-03-30,20200330T170100,Legg Mason executives slated for huge paydays after company's sale,"Legg Mason executives are set to receive substantial payouts following the company's sale to Franklin Templeton. CEO Joseph Sullivan alone will receive over $21 million as part of his ""golden parachute"" package. This compensation significantly exceeds the salaries of most of Baltimore's highest-paid athletes, highlighting the generous terms of the acquisition for company leadership.",The Business Journals,The Business Journals,General,https://www.bizjournals.com/baltimore/news/2020/03/30/legg-mason-executives-slated-for-huge-paydays.html,0.111296,Neutral,0.916681,0.111924,Neutral,"[""Holden Wilen""]","[{""topic"": ""mergers_and_acquisitions"", ""relevance_score"": ""1.000000""}, {""topic"": ""finance"", ""relevance_score"": ""0.837526""}, {""topic"": ""earnings"", ""relevance_score"": ""0.725963""}]",
